
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. COREFIFO_C0, 160, 69, 71, 0, 0, 1, 0, 4, 0
.	. COREFIFO_C0_COREFIFO_C0_0_COREFIFO, 160, 69, 71, 0, 0, 1, 0, 2, 0
.	.	. COREFIFO_C0_COREFIFO_C0_0_corefifo_async, 144, 58, 71, 0, 0, 0, 0, 0, 0
.	.	.	. COREFIFO_C0_COREFIFO_C0_0_corefifo_NstagesSync_0, 24, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREFIFO_C0_COREFIFO_C0_0_corefifo_NstagesSync_1, 24, 0, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREFIFO_C0_COREFIFO_C0_0_corefifo_grayToBinConv, 0, 11, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREFIFO_C0_COREFIFO_C0_0_corefifo_grayToBinConv_1, 0, 11, 0, 0, 0, 0, 0, 0, 0
.	.	. COREFIFO_C0_COREFIFO_C0_0_corefifo_resetSync_0, 2, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. COREFIFO_C0_COREFIFO_C0_0_corefifo_resetSync_1, 2, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. COREFIFO_C0_COREFIFO_C0_0_ram_wrapper, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	.	.	. COREFIFO_C0_COREFIFO_C0_0_LSRAM_top, 0, 0, 0, 0, 0, 1, 0, 0, 0
